Lon,Lat,Easting,Northing,Height Sea Level,Height_Ellipsoid,Total Gravity,Free Air Disturbance,Topo Free Disturbance
119.64322075,-32.3631645,748715.1867589166,6416236.859384436,379.0,353.31,4.547473508864641e-13,-4.733592246775515,-86.42765829574654
119.643143,-32.362728,748709.0648050231,6416285.447887182,379.0,353.31,0.0896793238302962,-4.608252851990983,-86.30651589763954
119.642952,-32.362442,748691.8706971176,6416317.609390588,379.0,353.31,-0.0489439259094979,-4.723511342308484,-86.42199018888041
119.642685,-32.361912,748668.1914872692,6416377.007081645,380.0,354.31,-0.1353035003889999,-4.4579703964991495,-86.59570903725117
119.642609,-32.361549,748662.0324956593,6416417.440342944,380.0568848,354.3668848,-0.0727742081276119,-4.348231457057409,-86.40609061322199
119.642456,-32.36113,748648.7791333264,6416464.263013945,380.2337646,354.5437646,0.0024123114590111,-4.184229925391264,-86.31900465250416
119.642334,-32.36068,748638.5284763078,6416514.451463418,380.4883118,354.7983118,0.1111671871403814,-3.9601594718405977,-86.20869937543138
119.642189,-32.360249,748626.0607183782,6416562.586276904,379.4573059,353.7673059,0.0775669878007647,-4.276721271919087,-86.17154040015728
119.642029,-32.359821,748612.1726852548,6416610.423238287,380.0904236,354.4004236,-0.0257539147855823,-4.149696531472728,-86.19496600168566
119.641991,-32.359356,748609.8694657648,6416662.079835536,380.8971252,355.2071252,0.1035490101739924,-3.733457330730744,-85.96024001350554
119.641899,-32.358906,748602.4421655613,6416712.198468162,379.7887878,354.0987878,0.1246906070255136,-4.017590639530681,-86.05501025943286
119.641785,-32.358456,748592.9439249556,6416762.368227482,379.0667114,353.3767114,0.1095337671499692,-4.218821711838245,-85.93239053902477
119.641617,-32.357983,748578.4255537469,6416815.214173289,379.870636,354.180636,-0.0133367973908207,-4.054960203357041,-86.12248146443467
119.641533,-32.357674,748571.3648322709,6416849.677342062,379.6863708,353.9963708,-0.1087002800500158,-4.181946631520987,-86.16447434692247
119.64138,-32.357178,748558.3211073037,6416905.039060412,378.446228,352.756228,-0.1754920829775983,-4.590932450490072,-86.06776706057275
119.641342,-32.356682,748556.1022585783,6416960.133485093,380.1652222,354.4752222,-0.2567883763817917,-4.10122587881051,-86.2073500914335
119.641151,-32.356236,748539.3443549031,6417010.038500364,380.6453857,354.9553857,-0.202878235324988,-3.862703887163661,-86.11133936160361
119.64106,-32.3559,748531.698289196,6417047.512166077,379.8978271,354.2078271,-0.2491010931248638,-4.112178573734127,-86.16476333692395
119.64106,-32.355309,748533.3162831042,6417113.053701064,379.8464661,354.1564661,-0.428353050583155,-4.259004535386339,-86.28366854338837
119.643524,-32.3652,748738.1507586585,6416010.417860197,381.7957764,356.1057764,-0.9706177742127692,-5.007721495931037,-87.4956754576327
119.643593,-32.36462,748746.234998822,6416074.579113966,382.3528137,356.6628137,-0.7768436560486407,-4.594659581896849,-87.42993918458333
119.643463,-32.364124,748735.3585250385,6416129.88773478,382.0766907,356.3866907,-0.5692368744967098,-4.431743002380244,-87.18823202221344
119.64325,-32.363739,748716.3654215496,6416173.079542902,381.2293701,355.5393701,-0.3629339156832429,-4.455471718451008,-86.82387087000782
119.641022,-32.363186,748508.1723536059,6416239.587182668,380.7261963,355.0361963,-0.2396827428051438,-4.442323119030334,-86.63978728739085
119.642151,-32.363243,748614.2823561763,6416230.641493887,380.4863281,354.7963281,-0.2189834500436518,-4.500304369605146,-86.74615162014484
119.64322075,-32.3631645,748715.1867589166,6416236.859384436,379.0,353.31,-1.8189894035458565e-12,-4.733592246775515,-86.42765829574654
119.644279,-32.363152,748814.8279951883,6416235.783657328,382.1535339,356.4635339,-0.3151621698225426,-4.074545392766595,-86.81791972032877
119.645218,-32.363209,748903.0543601569,6416227.277008446,382.4130554,356.7230554,-0.6271610015091937,-4.311112021794543,-87.20246444332754
119.644241,-32.362873,748812.0161767951,6416266.813070144,381.02948,355.33948,-0.2635283157169397,-4.347003934904933,-86.833778775421
119.64518,-32.362751,748900.7337331745,6416278.15749881,382.0910339,356.4010339,-0.5267555359682774,-4.27266649203375,-87.02015101790002
119.644318,-32.362434,748820.4673480511,6416315.318824571,381.8186646,356.1286646,-0.2339031142914791,-4.037970493664034,-86.50680622810609
119.645355,-32.362396,748918.1792205963,6416317.119511073,384.008606,358.318606,-0.5124925950499346,-3.637635348481126,-86.90540930387277
