Lon,Lat,Height Sea Level,Height_Ellipsoid,Total Gravity,Free Air Disturbance
119.64322075,-32.3631645,379.0,353.31,4.547473508864641e-13,-4.733592246775515
119.643143,-32.362728,379.0,353.31,0.0896793238302962,-4.608252851990983
119.642952,-32.362442,379.0,353.31,-0.0489439259094979,-4.723511342308484
119.642685,-32.361912,380.0,354.31,-0.1353035003889999,-4.4579703964991495
119.642609,-32.361549,380.0568848,354.3668848,-0.0727742081276119,-4.348231457057409
119.642456,-32.36113,380.2337646,354.5437646,0.0024123114590111,-4.184229925391264
119.642334,-32.36068,380.4883118,354.7983118,0.1111671871403814,-3.9601594718405977
119.642189,-32.360249,379.4573059,353.7673059,0.0775669878007647,-4.276721271919087
119.642029,-32.359821,380.0904236,354.4004236,-0.0257539147855823,-4.149696531472728
119.641991,-32.359356,380.8971252,355.2071252,0.1035490101739924,-3.7334573307307437
119.641899,-32.358906,379.7887878,354.0987878,0.1246906070255136,-4.017590639530681
119.641785,-32.358456,379.0667114,353.3767114,0.1095337671499692,-4.218821711838245
119.641617,-32.357983,379.870636,354.180636,-0.0133367973908207,-4.054960203357041
119.641533,-32.357674,379.6863708,353.9963708,-0.1087002800500158,-4.181946631520987
119.64138,-32.357178,378.446228,352.756228,-0.1754920829775983,-4.590932450490072
119.641342,-32.356682,380.1652222,354.4752222,-0.2567883763817917,-4.10122587881051
119.641151,-32.356236,380.6453857,354.9553857,-0.202878235324988,-3.8627038871636614
119.64106,-32.3559,379.8978271,354.2078271,-0.2491010931248638,-4.112178573734127
119.64106,-32.355309,379.8464661,354.1564661,-0.428353050583155,-4.259004535386339
119.643524,-32.3652,381.7957764,356.1057764,-0.9706177742127692,-5.007721495931037
119.643593,-32.36462,382.3528137,356.6628137,-0.7768436560486407,-4.594659581896849
119.643463,-32.364124,382.0766907,356.3866907,-0.5692368744967098,-4.431743002380244
119.64325,-32.363739,381.2293701,355.5393701,-0.3629339156832429,-4.455471718451008
119.641022,-32.363186,380.7261963,355.0361963,-0.2396827428051438,-4.442323119030334
119.642151,-32.363243,380.4863281,354.7963281,-0.2189834500436518,-4.500304369605146
119.64322075,-32.3631645,379.0,353.31,-1.8189894035458565e-12,-4.733592246775515
119.644279,-32.363152,382.1535339,356.4635339,-0.3151621698225426,-4.074545392766595
119.645218,-32.363209,382.4130554,356.7230554,-0.6271610015091937,-4.311112021794543
119.644241,-32.362873,381.02948,355.33948,-0.2635283157169397,-4.347003934904933
119.64518,-32.362751,382.0910339,356.4010339,-0.5267555359682774,-4.27266649203375
119.644318,-32.362434,381.8186646,356.1286646,-0.2339031142914791,-4.037970493664034
119.645355,-32.362396,384.008606,358.318606,-0.5124925950499346,-3.637635348481126
