northing,easting,upward,residual_gravity
-3209118.740571338,1910944.785803792,2000.0,25.255128144601894
-3209118.740571338,1915936.1401477666,2000.0,20.90502392233574
-3209118.740571338,1920927.4944917413,2000.0,18.299733607420173
-3209118.740571338,1925918.8488357158,2000.0,17.630450739611277
-3209118.740571338,1930910.2031796903,2000.0,17.237443261217432
-3209118.740571338,1935901.557523665,2000.0,16.67349575258172
-3209118.740571338,1940892.9118676395,2000.0,15.95479057657095
-3209118.740571338,1945884.2662116142,2000.0,15.117006352208662
-3209118.740571338,1950875.6205555887,2000.0,13.24579870007301
-3209118.740571338,1955866.9748995632,2000.0,9.412012600540933
-3209118.740571338,1960858.329243538,2000.0,9.941333538680018
-3209118.740571338,1965849.6835875125,2000.0,8.8040868483969
-3209118.740571338,1970841.037931487,2000.0,9.310787703169586
-3209118.740571338,1975832.3922754617,2000.0,7.247862068119785
-3209118.740571338,1980823.7466194362,2000.0,6.149008724691775
-3209118.740571338,1985815.100963411,2000.0,8.414119980037889
-3209118.740571338,1990806.4553073854,2000.0,8.542776823345038
-3209118.740571338,1995797.80965136,2000.0,9.090557142825725
-3209118.740571338,2000789.1639953346,2000.0,8.935874645409418
-3209118.740571338,2005780.5183393091,2000.0,5.626961705415696
-3209118.740571338,2010771.8726832836,2000.0,7.770581471039327
-3209118.740571338,2015763.2270272584,2000.0,9.31358653296232
-3209118.740571338,2020754.5813712329,2000.0,10.272692178086773
-3209118.740571338,2025745.9357152074,2000.0,9.29516520085066
-3209118.740571338,2030737.290059182,2000.0,5.424734830684741
-3209118.740571338,2035728.6444031566,2000.0,6.061200408221503
-3209118.740571338,2040719.9987471313,2000.0,8.530164058261885
-3209118.740571338,2045711.3530911058,2000.0,8.87864116987996
-3209118.740571338,2050702.7074350803,2000.0,5.982111993674361
-3209118.740571338,2055694.061779055,2000.0,2.7496934170880656
-3209118.740571338,2060685.4161230295,2000.0,2.652316804153509
-3209118.740571338,2065676.770467004,2000.0,3.98003369959252
-3209118.740571338,2070668.1248109788,2000.0,5.248794838428189
-3209118.740571338,2075659.4791549533,2000.0,9.827229647706671
-3209118.740571338,2080650.8334989278,2000.0,10.255228442065405
-3209118.740571338,2085642.1878429025,2000.0,9.995462631401322
-3209118.740571338,2090633.542186877,2000.0,11.705525457436082
-3209118.740571338,2095624.8965308517,2000.0,12.888932586471805
