Lon,Lat,Height Sea Level,Height Ellipsoid,Total Gravity,Free Air Disturbance
21.077,-31.156,1096.9,1097.0,979100.0,22.3391035097884
20.011,-31.593,1119.4,1119.5,979166.6313948022,60.81642761162948
20.019,-31.689,1174.7,1174.8,979168.33122842,71.82917391287629
20.019,-31.841,1357.8,1357.9,979143.9881573572,91.67516197392251
20.019,-31.381,1069.6,1069.7,979154.7232526764,50.60525550006423
20.02,-31.473,1090.8,1090.9,979156.1314115422,51.15813528711442
20.021,-31.52,1082.8,1082.9,979165.1690068616,53.94482340384275
20.037,-31.973,1280.9,1281.0,979167.9970545212,81.26146609918214
20.043,-31.886,1429.7,1429.8,979133.6776264374,99.89699832512997
20.045,-31.184,1079.9,1080.0,979138.05920587,52.91344039270189
20.062,-31.742,1243.6,1243.7,979159.7438011896,80.21372882300057
20.084,-31.512,1080.5,1080.6,979164.7423965088,53.452778000500984
20.085,-31.463,1082.3,1082.4,979158.3810553744,51.58996857213788
20.088,-31.802,1267.1,1267.2,979159.4605712612,82.32675577688497
20.095,-31.139,1082.9,1083.0,979133.9017777864,53.28144368994981
20.106,-31.615,1241.3,1241.4,979147.3531749503,77.36873359279707
20.112,-31.333,1040.1,1040.2,979157.4843179296,48.11900501360651
20.12,-31.973,1196.3,1196.4,979185.3168655892,72.48414394864812
20.124,-31.859,1264.6,1264.7,979164.6974132488,82.1774205698166
20.128,-31.405,1007.5,1007.6,979154.5582468666,29.353709749877453
20.135,-31.783,1199.6,1199.7,979173.1468580724,76.72803381620906
20.157,-31.107,1033.3,1033.4,979138.6993739592,45.33512078144122
20.158,-31.022,1012.5,1012.6,979130.5409375052,37.54718887305353
20.16,-31.461,1036.7,1036.8,979167.3480804844,46.64998303644825
20.167,-31.664,1221.0,1221.1,979157.4069935348,77.20642996218521
20.188,-31.951,1171.7,1171.8,979188.56724772,69.93107591592707
20.19,-31.288,1019.1,1019.2,979158.767533678,46.53322227613535
20.198,-31.766,1140.0,1140.1,979184.1081691404,70.67849920724984
20.201,-31.415,1026.0,1026.1,979167.0518915524,46.75122741807718
20.206,-31.513,1083.7,1083.8,979164.5628522624,54.17993203958031
20.211,-31.89,1150.9,1151.0,979187.2125429012,67.10634046734776
20.235,-31.056,993.6,993.7,979137.0166699938,35.47819596726913
20.238,-31.73,1099.8,1099.9,979184.1558129728,61.235118740354665
20.242,-31.446,1020.8,1020.9,979169.3160036115,44.918952702893876
20.244,-31.247,998.7,998.8,979157.8410353846,42.59931361465715
20.251,-31.366,1005.7,1005.8,979166.3815671576,43.75440711877309
20.269,-31.813,1091.3,1091.4,979190.0781465904,57.82215375127271
20.27,-31.305,1000.3,1000.4,979161.6329643218,42.23524697206449
20.275,-31.171,984.6,984.7,979152.4240755276,38.917381782783195
20.281,-31.507,1026.3,1026.4,979174.7141073009,47.105947896139696
20.283,-31.734,1146.9,1147.0,979173.6298773724,64.91600607696455
20.285,-31.648,1082.9,1083.0,979178.4809409186,56.969163518049754
20.286,-31.583,1040.5,1040.6,979178.8861156708,49.53649429837242
20.295,-31.101,980.0,980.1,979144.2293063096,34.9006074948702
20.298,-31.033,966.2,966.3,979137.3108857424,29.1549017354846
20.3,-31.954,1251.1,1251.2,979169.2184651752,74.83226473920513
20.304,-31.367,1007.4,1007.5,979164.0536558138,41.87067247868981
20.315,-31.879,1184.6,1184.7,979175.9698464526,67.15111903345678
20.321,-31.308,995.8,995.9,979160.7688782256,39.74220633972436
20.336,-31.439,1066.4,1066.5,979159.360473545,49.59427939879242
20.348,-31.712,1062.4,1062.5,979185.932084751,52.92799365601968
20.359,-31.521,1080.7,1080.8,979162.160616524,50.208055960712954
20.372,-31.829,1084.7,1084.8,979191.3326324106,55.74533915077336
20.376,-31.244,1017.1,1017.2,979151.276013688,41.95133546227589
20.407,-31.885,1106.7,1106.8,979191.8757202134,58.53933566168416
20.414,-31.685,1097.8,1097.9,979174.7902361,54.88806830451358
20.415,-31.176,1005.9,1006.0,979143.246410852,35.91106423980091
20.419,-31.948,1130.4,1130.5,979190.7874743984,59.65407492686063
20.419,-31.439,1048.4,1048.5,979160.3270538312,45.007739008637145
20.42,-31.05,974.1,974.2,979131.5840697176,24.508476484566927
20.442,-31.778,1209.9,1210.0,979159.936133264,67.09915246430319
20.453,-31.247,1024.4,1024.5,979147.9910780876,40.67818325175904
20.463,-31.828,1187.2,1187.3,979166.87025284,62.98441617062781
20.469,-31.639,1149.7,1149.8,979159.2293004995,59.051391545683146
20.47,-31.389,1052.5,1052.6,979154.9873799324,44.951317894971
20.474,-31.996,1304.9,1305.0,979157.9254117054,76.72591097687837
20.475,-31.126,1023.9,1024.0,979129.7180705712,31.9351000522729
20.477,-31.06,997.7,997.8,979127.1517378066,26.55881133954972
20.519,-31.972,1243.5,1243.6,979166.9243013528,68.7329743822338
20.525,-31.558,1076.9,1077.0,979162.131333126,46.02615043486003
20.525,-31.339,1109.5,1109.6,979138.7382144034,50.30161572108045
20.528,-31.611,1095.9,1096.0,979165.2858573823,50.76968024089001
20.535,-31.801,1160.9,1161.0,979167.9390003616,58.12537294079084
20.545,-31.073,985.8,985.9,979126.0466115674,20.744171864935197
20.556,-31.024,994.3,994.4,979118.372302206,19.603952802019194
20.556,-31.716,1172.6,1172.7,979161.5630563912,62.23204056324903
20.56,-31.871,1157.9,1158.0,979172.3475881644,55.94046706345398
20.573,-31.171,1023.2,1023.3,979132.014167597,30.41620276507456
20.581,-31.241,1048.2,1048.3,979135.2878900088,35.79827468970325
20.584,-31.105,985.7,985.8,979129.8944376686,22.004657820332795
20.586,-31.982,1212.6,1212.7,979170.8613348326,62.32632873393595
20.6,-31.471,1096.7,1096.8,979148.1813114294,45.18909571238328
20.605,-31.626,1064.5,1064.6,979171.3184226352,45.90534252941143
20.617,-31.82,1161.7,1161.8,979166.3499544084,55.24533709033858
20.619,-31.096,1009.1,1009.2,979120.3364861816,20.385187300969847
20.635,-31.106,985.8,985.9,979127.155002068,19.216159451403655
20.656,-31.745,1143.9,1144.0,979165.17972448,54.65119012759533
20.657,-31.692,1099.4,1099.5,979169.9223515724,49.948445485089906
20.659,-31.545,1110.3,1110.4,979152.9909151188,48.23701732174959
20.672,-31.999,1288.0,1288.1,979155.6988524258,69.04264175484423
20.685,-31.794,1193.4,1193.5,979155.6315430644,56.41016222338658
20.691,-31.121,1009.6,1009.7,979120.5211860436,18.726162393693812
20.701,-31.404,1059.8,1059.9,979146.7653925688,37.776302173151635
20.705,-31.934,1271.0,1271.1,979158.8499720016,72.2248822923284
20.72,-31.334,1040.7,1040.8,979141.6881308672,32.42767366184853
20.736,-31.872,1220.5,1220.6,979159.7235121448,62.54650609777309
20.737,-31.125,1020.6,1020.7,979116.156504628,17.435382667230442
20.741,-31.477,1120.1,1120.2,979141.6740522878,45.417986494721845
20.746,-31.37,1032.6,1032.7,979145.9172111534,31.267842387664132
20.755,-31.994,1264.9,1265.0,979156.192870019,62.816965164616704
20.761,-31.747,1114.4,1114.5,979163.3610924308,43.570290729636326
20.785,-31.051,1064.7,1064.8,979094.8521877502,15.648207704070956
20.791,-31.404,1079.2,1079.3,979139.6520690277,36.647979289409705
20.798,-31.823,1133.9,1134.0,979164.1939820782,44.27046197990421
20.805,-31.151,1093.4,1093.5,979101.051029738,22.710304289474152
20.806,-31.779,1110.8,1110.9,979163.4671886036,39.97801343363244
20.827,-31.347,1037.5,1037.6,979137.9973474692,26.70627262268681
20.83,-31.919,1187.2,1187.3,979162.3374511584,51.078359616105445
20.834,-31.208,1088.3,1088.4,979108.9870147048,24.51151071046479
20.845,-31.058,1108.2,1108.3,979085.840007188,19.49712112499401
20.848,-31.609,1152.7,1152.8,979140.4719678984,43.6396547408076
20.852,-31.535,1215.4,1215.5,979125.6755791042,54.149557930300944
20.854,-31.722,1135.0,1135.1,979153.1834762684,41.76836932322476
20.863,-31.966,1229.9,1230.0,979156.5193659156,54.619704949785955
20.863,-31.478,1128.9,1129.0,979136.3626995336,42.74094489403069
20.864,-31.794,1122.2,1122.3,979161.2508826556,40.06503473315388
20.89,-31.276,1130.8,1130.9,979105.2275574076,28.415382504230365
20.893,-31.403,1056.1,1056.2,979138.9136686136,28.86345504503697
20.895,-31.195,1104.1,1104.2,979101.437629324,22.87721134000458
20.896,-31.844,1131.2,1131.3,979163.496558261,41.03977647959255
20.904,-31.129,1125.1,1125.2,979089.3253283326,22.523356311954558
20.907,-31.67,1138.3,1138.4,979148.3331301772,42.136264169123024
20.923,-31.731,1209.1,1209.2,979137.29470961,48.01121855492238
20.936,-31.058,1146.6,1146.7,979077.5672254966,23.070706463302486
20.94,-31.81,1188.9,1189.0,979148.7822731562,46.877925887703896
20.967,-31.809,1229.8,1229.9,979139.9454161354,50.738922373973764
20.971,-31.499,1114.0,1114.1,979136.1724955682,36.26414407766424
20.972,-31.38,1072.3,1072.4,979131.410106774,28.20539236580953
20.979,-31.326,1114.0,1114.1,979112.79721798,26.79210754914675
20.981,-31.003,1131.3,1131.4,979073.6178375558,18.790545917931013
20.985,-31.895,1153.7,1153.8,979161.373298266,41.72561098262668
20.987,-31.945,1182.6,1182.7,979160.2568141528,45.46991337661166
20.992,-31.697,1160.1,1160.2,979143.3044889048,41.65234074636828
20.994,-31.271,1186.3,1186.4,979091.0465365644,31.756548530072905
21.012,-31.984,1256.5,1256.6,979150.5194897582,55.36427879228722
21.017,-31.613,1190.8,1190.9,979128.0135850776,42.61209159367718
21.018,-31.14,1189.0,1189.1,979075.373600964,27.404869441874325
21.018,-31.205,1146.7,1146.8,979090.0937916028,23.874856533366255
