longitude,latitude,height_sea_level_m,gravity_mgal
21.63834,-34.21001,176.5,979633.71
21.70168,-34.19833,146.3,979640.71
21.78667,-34.19667,185.3,979633.71
21.84666,-34.19333,175.3,979636.31
21.94501,-34.17168,179.8,979636.41
22.00533,-34.69617,0.0,979714.41
22.01167,-34.17999,160.0,979643.31
22.01317,-34.62750,0.0,979710.31
22.03583,-34.56117,0.0,979703.61
22.05833,-34.05667,22.6,979657.70
22.06033,-34.49483,0.0,979687.01
22.06168,-34.02667,187.8,979626.71
22.08083,-34.42883,0.0,979674.91
22.08667,-34.18333,153.9,979643.41
22.09033,-34.36333,0.0,979674.11
22.10167,-34.11833,5.5,979663.00
22.11333,-34.12833,23.8,979659.00
22.13167,-34.34633,0.0,979671.11
22.13499,-34.08833,5.2,979661.60
22.15334,-34.18668,95.4,979653.20
22.15500,-34.18333,21.0,979669.00
22.18832,-34.05167,146.3,979628.91
22.19167,-34.06500,63.4,979643.41
22.21233,-34.37717,0.0,979669.11
22.22667,-34.05333,2.7,979660.80
22.25999,-34.03500,199.9,979623.51
22.29167,-34.01334,179.5,979622.71
22.29466,-34.40582,0.0,979670.01
22.34666,-34.00500,127.7,979630.41
22.37717,-34.43500,0.0,979671.11
22.45000,-34.01833,201.5,979618.81
22.45967,-34.46367,0.0,979676.71
22.47166,-34.03833,185.0,979624.81
22.47833,-34.05000,118.3,979618.41
22.54150,-34.49217,0.0,979679.11
22.69167,-34.00333,61.9,979625.71
22.69400,-34.55183,0.0,979691.71
22.77217,-34.57683,0.0,979700.01
22.77499,-34.01167,4.3,979633.01
22.85750,-34.60201,0.0,979706.51
22.87167,-34.02834,20.1,979637.01
22.89999,-34.60001,0.0,979722.75
22.94000,-34.03168,11.3,979644.21
22.94383,-34.62868,0.0,979712.61
23.03500,-34.03333,2.7,979644.61
23.11667,-34.04167,266.7,979591.12
23.23167,-34.03667,260.9,979588.82
23.31168,-34.04500,192.9,979604.32
23.37500,-34.03333,14.6,979635.21
23.38333,-34.10001,61.3,979640.71
23.40500,-34.00333,7.9,979632.71
23.46333,-34.00333,13.4,979630.51
24.31667,-34.41667,0.0,979710.61
24.32001,-34.01167,237.1,979593.52
24.44333,-34.04333,218.2,979602.82
24.57668,-34.03999,78.6,979627.21
24.63333,-34.02834,107.0,979620.41
24.71333,-34.30333,0.0,979683.41
24.75999,-34.02499,117.3,979618.31
24.77667,-34.30667,0.0,979682.41
24.80000,-34.03333,123.4,979616.41
24.83667,-34.30667,0.0,979679.41
24.86333,-34.03833,59.4,979630.21
24.90167,-34.29500,0.0,979671.31
24.96001,-34.28667,0.0,979665.31
25.34399,-34.00883,0.0,979658.86
25.58299,-34.04832,10.1,979663.31
25.70168,-34.03000,0.0,979662.55
17.95667,-33.02722,47.7,979554.52
17.97910,-33.10966,111.9,979566.11
17.98317,-33.07684,56.7,979573.56
18.00833,-33.11082,192.8,979534.20
18.01189,-33.14290,7.6,979580.01
18.04140,-33.04222,39.7,979552.46
18.04692,-33.16978,36.2,979574.05
18.07925,-33.00677,11.5,979553.15
18.07957,-33.13184,32.3,979564.84
18.09778,-33.06805,175.7,979526.96
18.10590,-33.21500,8.9,979580.25
18.12428,-33.16672,8.7,979571.94
18.12787,-33.26923,4.9,979590.30
18.13834,-33.11853,160.8,979533.12
18.15347,-33.05115,63.4,979552.49
18.15556,-33.06084,125.7,979540.51
18.16309,-33.34421,28.4,979597.88
18.16508,-33.23164,57.0,979567.17
18.16667,-33.35194,84.1,979585.03
18.17732,-33.27501,49.4,979575.28
18.17789,-33.18159,54.1,979559.10
18.19225,-33.11227,102.6,979543.46
18.21361,-33.09666,113.9,979542.10
18.21860,-33.29395,34.6,979576.53
18.22093,-33.21822,270.7,979517.51
18.23819,-33.37407,52.5,979582.18
18.24097,-33.33424,76.8,979568.35
18.24718,-33.10587,95.2,979548.02
18.25917,-33.36610,85.3,979568.86
18.25972,-33.13361,108.6,979547.35
18.26334,-33.31361,256.8,979530.70
18.26334,-33.09332,107.3,979544.65
18.26543,-33.02019,90.8,979542.35
18.26884,-33.41125,43.6,979583.98
18.27493,-33.21339,117.2,979548.79
18.28722,-33.24529,141.5,979546.94
18.29153,-33.43877,33.1,979588.21
18.30083,-33.05499,103.5,979542.90
18.30106,-33.09956,90.3,979548.63
18.32347,-33.47742,11.8,979595.77
18.32443,-33.56471,35.2,979598.72
18.32677,-33.20874,78.3,979559.69
18.33528,-33.38278,315.1,979519.25
18.33611,-33.49167,103.4,979577.32
18.34056,-33.28307,108.3,979554.97
18.34361,-33.16611,98.0,979551.77
18.34694,-33.41333,337.4,979517.68
18.34955,-33.05870,17.9,979562.35
18.35558,-33.43617,157.7,979558.91
18.35916,-33.09274,38.6,979559.89
18.36177,-33.54883,87.2,979585.37
18.36395,-33.55908,52.8,979593.08
18.36806,-33.33278,271.4,979520.59
18.37361,-33.95972,7.9,979636.14
18.37450,-33.60648,14.0,979604.35
18.37666,-33.26666,62.5,979566.03
18.38139,-33.05750,67.7,979551.13
18.38167,-33.92168,24.7,979631.41
18.38184,-33.20377,42.9,979565.42
18.38779,-33.44000,315.4,979525.54
18.38806,-33.21777,50.2,979565.60
18.39806,-33.50778,167.7,979564.24
18.40472,-33.91695,351.1,979560.49
18.40807,-33.02055,72.1,979548.02
18.40871,-33.54948,142.1,979573.35
18.41167,-33.89944,6.7,979637.35
18.41861,-33.92111,24.3,979634.05
18.42027,-33.08528,65.2,979552.81
18.42444,-33.36472,86.5,979567.19
18.42500,-33.19986,49.0,979563.65
18.42564,-33.61836,56.8,979596.72
18.43750,-33.73473,19.8,979618.20
18.43971,-33.92751,10.3,979637.62
18.44397,-33.58385,131.8,979577.21
18.44667,-33.90556,2.4,979638.05
18.44861,-33.69778,21.8,979612.40
18.44943,-33.13390,64.9,979555.72
18.45332,-33.48557,378.6,979514.05
18.45433,-33.52031,148.4,979567.41
18.45444,-33.97221,59.4,979626.44
18.45639,-33.03778,60.4,979550.78
18.46611,-33.75667,231.2,979572.62
18.46611,-33.29527,66.4,979566.30
18.46832,-33.95168,38.4,979632.71
18.47722,-33.41083,181.2,979548.97
18.47749,-33.34666,67.8,979569.44
18.48111,-33.55000,215.9,979556.46
18.48334,-33.89166,5.3,979635.48
18.48975,-33.64217,85.9,979595.35
18.49693,-33.19833,84.8,979554.13
18.49722,-33.72917,136.4,979592.22
18.49884,-33.55553,198.7,979561.08
18.50610,-33.12111,87.7,979549.12
18.50667,-33.66417,111.5,979592.55
18.50917,-33.23222,73.5,979558.32
18.51028,-33.87361,26.6,979628.48
18.51056,-33.04500,71.6,979548.56
18.51279,-33.78389,38.3,979614.86
18.51472,-33.49611,567.1,979471.68
18.51654,-33.61153,111.6,979585.43
18.52306,-33.14944,94.3,979548.31
18.52417,-33.91640,14.6,979635.13
18.53389,-33.37029,79.0,979568.17
18.53574,-33.81841,17.2,979622.02
18.54222,-33.55251,418.0,979507.82
18.55641,-33.84975,58.6,979614.41
18.55667,-33.79944,80.0,979604.74
18.55917,-33.71500,376.3,979536.05
18.56111,-33.94389,36.0,979633.47
18.56250,-33.75471,55.2,979606.95
18.56361,-33.45389,109.2,979563.25
18.56471,-33.31306,92.0,979559.84
18.56639,-33.05360,87.5,979545.84
18.56833,-33.88693,51.4,979619.55
18.57140,-33.11583,90.7,979546.56
18.57500,-33.67917,191.5,979572.63
18.57777,-33.17999,123.5,979542.93
18.58221,-33.77361,208.2,979573.93
18.58305,-33.71584,138.8,979586.21
18.58472,-33.73528,102.7,979595.27
18.58722,-33.81277,268.0,979562.23
18.58917,-33.85361,415.4,979534.82
18.59000,-33.59972,102.3,979580.94
18.59557,-33.26334,97.1,979553.48
18.59805,-33.88055,340.5,979554.70
18.59805,-33.98666,50.0,979632.10
18.59972,-33.52750,91.2,979570.51
18.60056,-33.68443,72.0,979595.35
18.60194,-33.41943,207.9,979544.76
18.61028,-33.70667,69.3,979596.80
18.61472,-33.86694,234.9,979573.06
18.61610,-33.79639,283.8,979554.01
18.61722,-33.10556,191.5,979527.53
18.61861,-33.04500,123.5,979537.40
18.61945,-33.76250,94.8,979595.90
18.61945,-33.24445,129.3,979545.46
18.62193,-33.74278,92.2,979593.82
18.62721,-33.35944,152.5,979553.23
18.62889,-33.83640,252.7,979561.71
18.63361,-33.72278,75.3,979595.55
